Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.70024,-73.7538,201 STREET,0,1,0
40.725792,-74.01103,WEST STREET,0,1,0
40.835297,-73.9129,E 169 ST,0,1,0
40.72537,-73.82366,72 ROAD,0,1,0
40.893757,-73.85899,Unknown,0,1,0
40.742535,-73.88034,MACNISH ST,0,1,0
40.90152,-73.84695,BAYCHESTER AVENUE,0,1,0
40.629852,-73.93868,EAST 39 STREET,0,1,0
40.70975,-73.79562,167 STREET,0,2,0
40.63186,-73.9444,Unknown,0,1,0
40.66669,-73.88784,Unknown,0,1,0
0.0000000,0.0000000,119 AVENUE,0,1,0
40.77138,-73.82193,Unknown,0,1,0
40.751575,-73.85584,111 STREET,0,1,0
40.76772,-73.902336,GRAND CENTRAL PKWY,0,1,0
40.658028,-73.94744,NEW YORK AVENUE,0,1,0
40.720764,-73.76715,Unknown,0,1,0
40.71039,-73.98662,FDR DRIVE,0,1,0
40.84215,-73.94228,FORT WASHINGTON AVENUE,0,1,0
40.87716,-73.865776,Unknown,0,1,0
40.76246,-73.86885,Unknown,0,1,0
40.839626,-73.940834,Unknown,0,1,0
40.640564,-74.07672,Unknown,0,1,0
40.773113,-73.82786,28 AVENUE,0,1,0
40.75033,-73.87874,37 AVENUE,0,1,0
40.689655,-73.744,Unknown,0,1,0
40.632484,-73.94663,Unknown,0,1,0
40.608482,-73.9589,Unknown,0,1,0
40.70089,-73.94221,BROADWAY,0,2,0
40.687706,-73.82588,118 STREET,0,1,0
40.663647,-73.92001,Unknown,0,1,0
40.805557,-73.91047,BRUCKNER BOULEVARD,0,4,0
40.67448,-74.00202,CENTRE MALL,0,1,0
40.597607,-74.078,Unknown,0,1,0
40.646687,-73.95413,TILDEN AVENUE,0,1,0
40.648922,-73.94938,SNYDER AVENUE,0,1,0
40.586746,-73.81712,ROCKAWAY FREEWAY,0,1,0
40.757504,-73.92266,Unknown,0,1,0
40.67973,-73.76162,MERRICK BOULEVARD,0,2,0
40.706448,-74.01277,Unknown,0,1,0
40.70787,-73.95759,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.654705,-74.00731,Unknown,0,1,0
40.723625,-74.00479,WATTS STREET,0,3,0
40.754696,-73.97002,Unknown,0,1,0
40.60679,-73.97151,QUENTIN ROAD,0,1,0
40.78257,-73.94522,EAST 95 STREET,0,1,0
40.66605,-73.81525,BELT PARKWAY,0,2,0
40.72455,-74.00194,SPRING STREET,0,1,0
40.699883,-73.90831,MYRTLE AVENUE,0,1,0
40.70981,-73.99178,SOUTH STREET,0,1,0
40.593716,-74.08479,LACONIA AVENUE,0,1,0
40.74473,-73.93359,VANDAM STREET,0,2,0
40.575356,-74.10483,Unknown,0,1,0
40.627926,-73.93175,AVENUE J,0,1,0
40.69041,-73.75557,119 AVENUE,0,1,0
40.681644,-73.91205,Unknown,0,1,0
40.59861,-73.938644,AVENUE V,0,1,0
40.740524,-73.77847,Unknown,0,1,0
40.63669,-73.96452,DITMAS AVENUE,0,1,0
40.85377,-73.900635,Unknown,0,1,0
40.6207,-74.14601,Unknown,0,1,0
40.750988,-73.99063,7 AVENUE,0,1,0
40.63633,-73.94705,EAST 31 STREET,0,1,0
40.756718,-73.91422,BROADWAY,0,3,0
40.620815,-73.98986,Unknown,0,1,0
40.73133,-73.70805,258 STREET,0,1,0
40.828384,-73.90283,JACKSON AVENUE,0,1,0
40.71217,-74.00557,PARK ROW,0,1,0
40.631805,-73.988304,50 STREET,0,1,0
40.81314,-73.93861,Unknown,0,1,0
40.81663,-73.89592,Unknown,0,1,0
40.656708,-74.00537,3 AVENUE,0,1,0
40.673676,-73.79376,145 STREET,0,1,0
40.603134,-73.75527,Unknown,0,1,0
40.817024,-73.921394,Unknown,0,2,0
40.677883,-73.74561,224 STREET,0,1,0
40.689804,-73.98621,Unknown,0,1,0
40.88891,-73.877235,Unknown,0,1,0
40.690907,-73.95542,DE KALB AVENUE,0,1,0
40.780224,-73.80255,FRANCIS LEWIS BOULEVARD,0,2,0
40.607674,-74.00172,85 STREET,0,1,0
40.756405,-73.9222,Unknown,0,1,0
40.643776,-74.078445,WALL STREET,0,1,0
40.750713,-73.99082,Unknown,0,1,0
40.830135,-73.89088,FREEMAN STREET,0,1,0
40.812126,-73.90419,SOUTHERN BOULEVARD,0,1,0
40.609123,-73.9503,EAST 23 STREET,0,1,0
40.827057,-73.95202,RIVERSIDE DRIVE,0,1,0
40.76428,-73.97302,WEST 59 STREET,0,1,0
40.79084,-73.97457,BROADWAY,0,1,0
40.704304,-73.92981,FLUSHING AVENUE,0,1,0
40.830563,-73.87091,CROES AVENUE,0,1,0
40.670326,-73.79244,146 STREET,0,1,0
40.765686,-73.82913,137 STREET,0,3,0
40.611256,-73.974525,DAHILL ROAD,0,1,0
40.64804,-73.97199,Unknown,0,1,0
40.606407,-74.18937,Unknown,0,1,0
40.74593,-73.988335,Unknown,0,1,0
40.73019,-73.97255,FDR DRIVE,0,1,0
40.872314,-73.91274,WEST 220 STREET,0,1,0
40.888596,-73.89068,MAJOR DEEGAN EXPRESSWAY,0,7,0
40.61019,-74.03534,BELT PARKWAY,0,1,0
40.644997,-74.01046,Unknown,0,1,0
40.749866,-73.86273,ROOSEVELT AVENUE,0,3,0
40.669918,-73.91889,EASTERN PARKWAY,0,1,0
40.85169,-73.831055,HOBART AVE,0,1,0
40.73697,-73.980835,Unknown,0,1,0
40.749443,-73.99285,Unknown,0,1,0
40.86177,-73.89868,CRESTON AVENUE,0,1,0
40.73296,-73.80127,168 STREET,0,1,0
40.84491,-73.93324,WEST 176 STREET,0,1,0
40.71445,-73.9306,GRAND STREET,0,3,0
40.785343,-73.95764,EAST 92 STREET,0,1,0
40.65764,-73.94162,Unknown,0,2,0
40.61678,-74.0898,Unknown,0,1,0
40.681602,-73.922485,Unknown,0,1,0
40.723347,-73.939316,MORGAN AVENUE,0,1,0
40.762806,-73.993164,WEST 47 STREET,0,1,0
40.711823,-73.78786,HILLSIDE AVENUE,0,1,0
40.64178,-73.903564,Unknown,0,1,0
40.75684,-73.74961,Unknown,0,1,0
40.67883,-73.88816,FULTON STREET,0,1,0
