Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
43 AVENUE,,,31,0,0,1
CLOVE ROAD,,,31,0,0,1
58 STREET,,,30,0,0,1
COLUMBUS AVENUE,,,30,0,0,1
MEEKER AVENUE,,,30,0,0,1
GRAND CENTRAL PARKWAY,,,30,0,0,1
EAST 163 STREET,,,30,0,0,1
SNYDER AVENUE,,,30,0,0,1
EAST NEW YORK AVENUE,,,29,0,0,1
FLATBUSH AVENUE EXTENSION,,,29,0,0,1
BEVERLEY ROAD,,,29,0,0,1
YORK AVENUE,,,29,0,0,1
BERGEN STREET,,,29,0,0,1
VANDAM STREET,,,28,0,0,1
RICHMOND TERRACE,,,28,0,0,1
12 AVENUE,,,28,0,0,1
UNION STREET,,,28,0,0,1
TILLARY STREET,,,28,0,0,1
SARATOGA AVENUE,,,28,0,0,1
WYCKOFF AVENUE,,,28,0,0,1
18 AVENUE,,,28,0,0,1
CLARENDON ROAD,,,28,0,0,1
84 STREET,,,27,0,0,1
BUFFALO AVENUE,,,27,0,0,1
31 STREET,,,27,0,0,1
BORDEN AVENUE,,,27,0,0,1
JACKSON AVENUE,,,27,0,0,1
EAST 167 STREET,,,27,0,0,1
WEST 42 STREET,,,26,0,0,1
6 AVENUE,,,26,0,0,1
LENOX ROAD,,,26,0,0,1
MAIN STREET,,,26,0,0,1
ROCKAWAY BEACH BOULEVARD,,,26,0,0,1
BAYCHESTER AVENUE,,,26,0,0,1
60 STREET,,,26,0,0,1
DEAN STREET,,,26,0,0,1
116 AVENUE,,,26,0,0,1
LENOX AVENUE,,,26,0,0,1
ARTHUR KILL ROAD,,,26,0,0,1
DUMONT AVENUE,,,26,0,0,1
WEST SHORE EXPRESSWAY,,,25,0,0,1
CLASSON AVENUE,,,25,0,0,1
IRVING AVENUE,,,25,0,0,1
VANWYCK EXPRESSWAY,,,25,0,0,1
119 AVENUE,,,25,0,0,1
EAST 165 STREET,,,25,0,0,1
TROY AVENUE,,,25,0,0,1
EAST 125 STREET,,,25,0,0,1
31 AVENUE,,,25,0,0,1
AMBOY ROAD,,,25,0,0,1
MOSHOLU PARKWAY,,,25,0,0,1
AVENUE L,,,25,0,0,1
UNION AVENUE,,,25,0,0,1
AVENUE D,,,25,0,0,1
AVENUE S,,,24,0,0,1
AVENUE K,,,24,0,0,1
EAST 174 STREET,,,24,0,0,1
SEDGWICK AVENUE,,,24,0,0,1
120 AVENUE,,,24,0,0,1
164 STREET,,,24,0,0,1
34 AVENUE,,,24,0,0,1
MC DONALD AVENUE,,,24,0,0,1
30 AVENUE,,,24,0,0,1
PROSPECT AVENUE,,,24,0,0,1
EAST 135 STREET,,,23,0,0,1
SHERIDAN EXPRESSWAY,,,23,0,0,1
EMPIRE BOULEVARD,,,23,0,0,1
111 AVENUE,,,23,0,0,1
EVERGREEN AVENUE,,,23,0,0,1
VANDERBILT AVENUE,,,23,0,0,1
EAST 184 STREET,,,23,0,0,1
STILLWELL AVENUE,,,23,0,0,1
32 AVENUE,,,23,0,0,1
85 STREET,,,23,0,0,1
FORT HAMILTON PARKWAY,,,22,0,0,1
WEST 207 STREET,,,22,0,0,1
92 STREET,,,22,0,0,1
133 AVENUE,,,22,0,0,1
UTOPIA PARKWAY,,,22,0,0,1
AVENUE X,,,22,0,0,1
130 STREET,,,22,0,0,1
41 AVENUE,,,22,0,0,1
KENT AVENUE,,,22,0,0,1
79 STREET,,,22,0,0,1
EAST 42 STREET,,,22,0,0,1
111 STREET,,,21,0,0,1
21 AVENUE,,,21,0,0,1
WINTHROP STREET,,,21,0,0,1
EAST 116 STREET,,,21,0,0,1
