Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
CROSS BAY BOULEVARD,39.296879,-71.375285,44,0.04,0.13,0,30
SCHERMERHORN STREET,40.688878,-73.985935,7,0.06,0.13,0,4
GREENPOINT AVENUE,40.734609,-73.938445,20,0.05,0.13,0,12
SUTTER AVENUE,40.671028,-73.878686,63,0.04,0.13,0,46
RUTLAND ROAD,40.660738,-73.938122,10,0.04,0.13,0,7
86 STREET,40.621653,-73.990497,66,0.05,0.13,0,41
WEST 41 STREET,40.758278,-73.99427,13,0.07,0.13,0,6
EAST 180 STREET,40.847939,-73.888812,37,0.05,0.13,0,24
COZINE AVENUE,40.658294,-73.876783,15,0.05,0.13,0,9
PROSPECT STREET,40.700698,-73.988727,7,0.07,0.13,0,3
WINTHROP STREET,40.659177,-73.931968,21,0.06,0.13,0,11
SOUTH 5 STREET,40.709591,-73.958782,7,0.06,0.13,0,4
58 STREET,40.692108,-73.95498,30,0.05,0.13,0,20
THROOP AVENUE,40.700304,-73.937349,31,0.05,0.13,0,18
CEDAR AVENUE,40.805536,-73.945814,8,0.05,0.13,0,5
SENECA AVENUE,40.7458,-73.898419,13,0.05,0.13,0,8
EAST 58 STREET,35.618772,-64.703435,12,0.05,0.13,0,8
SOUTH 4 STREET,40.712042,-73.963685,5,0.08,0.13,0,2
WILLOUGHBY AVENUE,40.697405,-73.941163,18,0.04,0.1,0,15
SOUND VIEW AVENUE,40.815242,-73.859669,8,0.05,0.1,0,5
SUNRISE HIGHWAY,40.665599,-73.734913,7,0.07,0.1,0,3
37 AVENUE,39.439141,-71.510668,36,0.04,0.1,0,31
FINDLAY AVENUE,40.829656,-73.914186,6,0.05,0.1,0,4
YORK AVENUE,40.739203,-73.983678,29,0.04,0.1,0,22
EAST 215 STREET,40.87945,-73.860648,5,0.05,0.1,0,3
VERNON BOULEVARD,40.7521,-73.948642,21,0.06,0.1,0,11
LORRAINE STREET,40.673296,-74.003048,6,0.05,0.1,0,4
EAST 222 STREET,40.880876,-73.848428,8,0.05,0.1,0,5
43 AVENUE,40.747364,-73.894293,31,0.04,0.1,0,23
GLENWOOD ROAD,40.63897,-73.922083,32,0.04,0.1,0,24
IRVING AVENUE,40.699099,-73.91453,25,0.05,0.1,0,16
HOOK CREEK BOULEVARD,40.66489,-73.728288,15,0.05,0.1,0,10
WALDRON STREET,40.73862,-73.8508,3,0.1,0.1,0,1
HENDERSON AVENUE,40.647438,-74.065217,11,0.05,0.1,0,7
WEST 49 STREET,40.762061,-73.987519,5,0.05,0.1,0,3
KINGSTON AVENUE,40.672189,-73.941943,18,0.05,0.1,0,11
137 STREET,40.758858,-73.829253,7,0.04,0.1,0,5
120 AVENUE,40.683445,-73.772389,24,0.05,0.1,0,14
WYCKOFF AVENUE,40.701115,-73.913746,28,0.05,0.1,0,18
EAST 124 STREET,40.803294,-73.936962,6,0.05,0.1,0,4
LIVONIA AVENUE,40.664237,-73.897557,31,0.04,0.1,0,24
EAST 102 STREET,40.740106,-73.928427,12,0.07,0.1,0,6
HENDRIX STREET,40.671989,-73.889207,8,0.04,0.1,0,6
WEST 110 STREET,40.801265,-73.959788,10,0.05,0.1,0,6
EAST 92 STREET,40.705266,-73.928377,19,0.04,0.1,0,14
VICTORY BOULEVARD,40.615751,-74.127031,36,0.04,0.1,0,29
WEST 175 STREET,40.845118,-73.935828,6,0.05,0.1,0,4
EAST 101 STREET,40.788928,-73.94831,4,0.07,0.1,0,2
KENT AVENUE,40.705987,-73.962243,22,0.05,0.1,0,13
EAST 30 STREET,40.742443,-73.978141,7,0.06,0.1,0,4
LENOX ROAD,38.114623,-69.312778,26,0.05,0.1,0,16
118 STREET,40.70112,-73.829584,10,0.05,0.1,0,6
39 STREET,40.663001,-73.994407,12,0.05,0.1,0,8
BOERUM PLACE,40.690454,-73.9898,8,0.04,0.1,0,6
EAST BURNSIDE AVENUE,40.852513,-73.904355,18,0.07,0.1,0,8
HAVEMEYER STREET,40.711161,-73.957732,12,0.05,0.1,0,7
WEST 45 STREET,40.759394,-73.988969,8,0.05,0.1,0,5
BOYLAND STREET,38.278445,-69.565291,19,0.03,0.1,0,17
HARRISON AVENUE,40.793134,-73.926949,14,0.04,0.1,0,10
LACONIA AVENUE,40.841526,-73.882645,18,0.04,0.1,0,15
LAFAYETTE AVENUE,40.74158,-73.920518,46,0.04,0.1,0,35
HEGEMAN AVENUE,40.660176,-73.894106,19,0.04,0.1,0,16
77 STREET,40.679575,-73.961401,16,0.04,0.1,0,12
47 AVENUE,40.742339,-73.92535,14,0.04,0.1,0,12
BROWN PLACE,40.805976,-73.92146,6,0.05,0.1,0,4
CENTRAL AVENUE,40.686065,-73.894137,44,0.04,0.1,0,37
BAY STREET,37.504875,-68.370784,20,0.05,0.1,0,13
WEST 180 STREET,40.849836,-73.932389,11,0.04,0.1,0,8
126 STREET,40.750157,-73.834989,14,0.04,0.1,0,11
9 AVENUE,40.741413,-73.972144,57,0.04,0.1,0,41
EAST 93 STREET,40.694294,-73.925444,20,0.04,0.1,0,15
ELY AVENUE,40.880077,-73.840547,8,0.05,0.1,0,5
21 AVENUE,40.679095,-73.954148,21,0.04,0.1,0,17
LEFFERTS BOULEVARD,40.689787,-73.826236,18,0.04,0.1,0,13
EAST 23 STREET,40.693843,-73.97214,18,0.04,0.1,0,13
KOREAN WAR VETS PARKWAY,40.542675,-74.194205,13,0.04,0.1,0,9
STONE AVENUE,40.671606,-73.907052,11,0.05,0.1,0,7
FARRAGUT ROAD,39.187194,-71.290034,36,0.04,0.1,0,28
111 STREET,40.726699,-73.845728,21,0.04,0.1,0,15
CRESCENT STREET,39.02169,-70.819,31,0.04,0.1,0,24
AMSTERDAM AVENUE,40.808019,-73.961003,101,0.05,0.1,0,66
RIVERSIDE DRIVE,39.578268,-71.720331,35,0.03,0.1,0,33
CLASSON AVENUE,38.290057,-69.609493,25,0.04,0.1,0,17
PROSPECT EXPRESSWAY,40.653181,-73.9803,6,0.05,0.1,0,4
WALL STREET,40.684871,-74.03139,5,0.05,0.1,0,3
WEST STREET,40.716306,-74.005717,43,0.04,0.1,0,31
PARK HILL AVENUE,40.613586,-74.08267,3,0.1,0.1,0,1
MANOR ROAD,40.609875,-74.123349,13,0.04,0.1,0,9
ARTHUR KILL ROAD,40.555944,-74.187642,26,0.04,0.1,0,20
SEAGIRT AVENUE,40.594707,-73.763168,4,0.07,0.1,0,2
AVENUE R,40.607981,-73.948621,8,0.04,0.1,0,6
EAST 25 STREET,40.719883,-73.974618,8,0.05,0.1,0,5
EAST NEW YORK AVENUE,40.668552,-73.920131,29,0.04,0.1,0,22
167 STREET,40.702344,-73.78834,12,0.04,0.1,0,9
111 AVENUE,38.65384,-70.107972,23,0.03,0.1,0,20
WATSON AVENUE,40.827083,-73.870757,17,0.06,0.1,0,9
CROTONA AVENUE,40.846884,-73.889724,12,0.05,0.1,0,8
JOHNSON AVENUE,35.641025,-64.686732,11,0.04,0.1,0,8
192 STREET,40.736884,-73.779215,7,0.04,0.1,0,5
115 AVENUE,40.692245,-73.761724,14,0.04,0.1,0,10
50 STREET,40.674398,-73.970325,19,0.04,0.1,0,15
TROY AVENUE,40.665807,-73.936389,25,0.04,0.1,0,17
48 AVENUE,40.744208,-73.891283,9,0.05,0.1,0,6
EAST 135 STREET,37.670078,-68.24201,23,0.06,0.1,0,13
WEST 43 STREET,40.758723,-73.991246,11,0.05,0.1,0,7
42 ROAD,40.751831,-73.910167,8,0.05,0.1,0,5
EAST 188 STREET,40.858474,-73.891055,11,0.04,0.1,0,8
92 STREET,37.977312,-68.996235,22,0.04,0.1,0,15
100 AVENUE,40.709476,-73.76393,3,0.1,0.1,0,1
EAST 160 STREET,40.821347,-73.907408,8,0.06,0.1,0,4
41 STREET,40.71609,-73.951191,15,0.05,0.1,0,10
LEXINGTON AVENUE,40.76009,-73.956837,59,0.04,0.1,0,42
42 STREET,40.734635,-73.931043,14,0.04,0.1,0,10
COLLEGE AVENUE,40.763227,-73.987328,9,0.05,0.1,0,6
PARSONS BOULEVARD,40.747068,-73.814914,34,0.04,0.1,0,27
WEST 157 STREET,40.83357,-73.943717,5,0.05,0.1,0,3
85 STREET,40.654654,-73.961907,23,0.03,0.1,0,20
GRAHAM AVENUE,40.709174,-73.943529,20,0.05,0.1,0,13
MORNINGSTAR ROAD,40.629403,-74.147453,7,0.07,0.1,0,3
MANHATTAN AVENUE,40.749217,-73.953187,32,0.04,0.1,0,24
EAST 76 STREET,40.771698,-73.957227,4,0.07,0.1,0,2
NARROWS ROAD NORTH,40.608775,-74.088259,10,0.05,0.1,0,6
MADISON AVENUE,40.779261,-73.959981,46,0.04,0.1,0,38
LENOX AVENUE,38.542,-69.83644,26,0.04,0.1,0,18
EAST 106 STREET,40.791729,-73.945064,14,0.05,0.1,0,9
ARDEN AVENUE,40.549367,-74.184578,10,0.04,0.1,0,8
ERSKINE STREET,40.652439,-73.866332,4,0.07,0.1,0,2
WEST SHORE EXPRESSWAY,40.565173,-74.203959,25,0.04,0.1,0,20
WEST BURNSIDE AVENUE,40.854275,-73.913075,12,0.05,0.1,0,8
KNICKERBOCKER AVENUE,40.698669,-73.917944,41,0.05,0.1,0,27
AVENUE S,40.604081,-73.957968,24,0.04,0.1,0,20
72 STREET,40.673955,-73.963787,11,0.05,0.1,0,7
WEST KINGSBRIDGE ROAD,40.869176,-73.901717,14,0.06,0.1,0,7
WILLIS AVENUE,40.79398,-73.936982,16,0.05,0.1,0,11
91 AVENUE,40.700264,-73.814916,11,0.04,0.1,0,9
EAST 189 STREET,40.858108,-73.88751,5,0.05,0.1,0,3
PALMETTO STREET,40.697188,-73.913345,4,0.07,0.1,0,2
WEST 60 STREET,27.180378,-49.324035,5,0.05,0.1,0,3
WEST 26 STREET,40.748384,-73.999924,6,0.05,0.1,0,4
ALBANY AVENUE,40.663312,-73.939176,31,0.05,0.1,0,19
WEST 136 STREET,40.817573,-73.94701,7,0.08,0.1,0,3
225 STREET,40.676383,-73.746873,20,0.05,0.1,0,13
