Street,Avg_Latitude,Avg_Longitude,Total_Incidents,Avg_Congestion,Max_Congestion,Total_Injured,Point_Count
SCHERMERHORN ST,40.687833,-73.982985,2,0.03,0.03,0,2
PELHAM PKWY S,40.85676,-73.86286,1,0.03,0.03,0,1
WEST 121 STREET,40.808493,-73.955144,4,0.03,0.03,0,4
30 ROAD,40.77054,-73.93205,1,0.03,0.03,0,1
FRANKLIN AVE,40.716044,-73.891312,2,0.03,0.03,0,2
CLARKSON STREET,40.729635,-74.007892,2,0.03,0.03,0,2
EAST 64 STREET,40.684154,-73.937175,2,0.03,0.03,0,2
64 PLACE,40.697346,-73.89081,1,0.03,0.03,0,1
CASE STREET,40.747536,-73.875047,3,0.03,0.03,0,3
WEST 95 STREET,27.195905,-49.314623,3,0.03,0.03,0,3
71 ROAD,40.72165,-73.84121,1,0.03,0.03,0,1
POPLAR STREET,40.701233,-73.99346,1,0.03,0.03,0,1
BEAVER RD,40.70064,-73.8021,1,0.03,0.03,0,1
QUINCE AVENUE,40.748222,-73.81221,1,0.03,0.03,0,1
123 AVENUE,40.67551,-73.79246,1,0.03,0.03,0,1
GUIDER AVE,40.58327,-73.96005,1,0.03,0.03,0,1
CODY AVE,40.69575,-73.89931,1,0.03,0.03,0,1
W 52 ST,40.76713,-73.99372,1,0.03,0.03,0,1
77 ROAD,40.719427,-73.817318,2,0.03,0.03,0,2
BRIGHTON 8 STREET,40.581745,-73.960945,1,0.03,0.03,0,1
RITTER PLACE,40.830837,-73.8987,1,0.03,0.03,0,1
80 AVENUE,40.745052,-73.71022,1,0.03,0.03,0,1
READS LANE,40.60158,-73.7409,1,0.03,0.03,0,1
SUTTON PLACE,40.757362,-73.96068,1,0.03,0.03,0,1
WOODROW RD,40.54167,-74.20798,1,0.03,0.03,0,1
59 AVENUE,40.740652,-73.820708,5,0.03,0.03,0,5
179 PLACE,40.708252,-73.781456,1,0.03,0.03,0,1
WEST 182 STREET,40.849308,-73.93192,1,0.03,0.03,0,1
W 203 ST,40.86114,-73.91893,1,0.03,0.03,0,1
BEDFORD PARK BLVD W,40.873383,-73.88937,1,0.03,0.03,0,1
EAST 155 STREET,40.81632,-73.903015,1,0.03,0.03,0,1
E 204 ST,40.874687,-73.8865,1,0.03,0.03,0,1
RUTLEDGE ST,40.704983,-73.95253,1,0.03,0.03,0,1
INGRAHAM ST,40.707577,-73.92883,1,0.03,0.03,0,1
SAINT RAYMOND AVENUE,40.83757,-73.85446,1,0.03,0.03,0,1
DEVOE AVENUE,40.83987,-73.877484,3,0.03,0.03,0,3
WEST 83 STREET,40.785133,-73.975025,2,0.03,0.03,0,2
247 STREET,40.72867,-73.720924,1,0.03,0.03,0,1
ALLERTON AVE,40.865304,-73.85452,2,0.03,0.03,0,2
CHATTERTON AVENUE,40.827507,-73.85634,1,0.03,0.03,0,1
SHELDON AVENUE,40.53774,-74.20876,1,0.03,0.03,0,1
PLYMOUTH STREET,40.70376,-73.98662,1,0.03,0.03,0,1
AVENUE F,40.633221,-73.97703,2,0.03,0.03,0,2
EAST 202 STREET,40.87161,-73.881867,2,0.03,0.03,0,2
NASSAU EXPY,40.659653,-73.77383,1,0.03,0.03,0,1
THROGS NECK EXPY,40.824497,-73.817425,2,0.03,0.03,0,2
ETNA STREET,40.686455,-73.875152,2,0.03,0.03,0,2
17 AVE,40.628994,-73.983635,1,0.03,0.03,0,1
PARKWOOD AVENUE,40.529728,-74.20477,1,0.03,0.03,0,1
GRAND ARMY PLZ,40.674854,-73.97078,1,0.03,0.03,0,1
149 ROAD,40.65771,-73.76757,1,0.03,0.03,0,1
PARKSIDE PLACE,40.876022,-73.872925,1,0.03,0.03,0,1
KLONDIKE AVENUE,40.586708,-74.15313,1,0.03,0.03,0,1
WEST 101 STREET,40.798139,-73.970175,2,0.03,0.03,0,2
4 AVE,40.6532,-74.00558,1,0.03,0.03,0,1
CHISHOLM STREET,40.53062,-74.19455,1,0.03,0.03,0,1
WEST 58 STREET,40.76979,-73.988075,1,0.03,0.03,0,1
MCGUINNESS BLVD,40.73115,-73.95178,1,0.03,0.03,0,1
WEST 64 STREET,40.774132,-73.98676,2,0.03,0.03,0,2
NEILL AVE,40.85381,-73.85528,1,0.03,0.03,0,1
W 174 ST,40.846089,-73.929435,2,0.03,0.03,0,2
CROPSEY AVE,40.596089,-74.001487,2,0.03,0.03,0,2
JUDGE STREET,40.744926,-73.881898,2,0.03,0.03,0,2
CLEVELAND PL,40.72145,-73.9974,1,0.03,0.03,0,1
EAST 128 STREET,40.805533,-73.934207,3,0.03,0.03,0,3
JEFFERSON PLACE,40.833218,-73.89946,1,0.03,0.03,0,1
155 AVENUE,40.665711,-73.839693,2,0.03,0.03,0,2
CAMBRELENG AVENUE,40.856323,-73.883896,1,0.03,0.03,0,1
STORY AVE,40.825043,-73.852585,1,0.03,0.03,0,1
KINGSBRIDGE TERRACE,40.877304,-73.90062,1,0.03,0.03,0,1
ROSS STREET,40.70479,-73.961876,1,0.03,0.03,0,1
BEACH 59 STREET,40.59241,-73.789,1,0.03,0.03,0,1
90 ST,40.727146,-73.86685,2,0.03,0.03,0,2
CHELSEA STREET,40.609445,-74.010035,2,0.03,0.03,0,2
DYRE AVENUE,40.88471,-73.83131,1,0.03,0.03,0,1
HAIGHT STREET,40.75584,-73.83448,1,0.03,0.03,0,1
MC KINLEY AVENUE,40.680187,-73.86935,1,0.03,0.03,0,1
WYCKOFF AVE,40.703857,-73.9185,1,0.03,0.03,0,1
30 ST,40.77031,-73.919,1,0.03,0.03,0,1
SLATER BOULEVARD,40.579357,-74.08716,1,0.03,0.03,0,1
149 AVE,40.66956,-73.85011,1,0.03,0.03,0,1
PRINCETON STREET,40.6929,-73.80551,1,0.03,0.03,0,1
BAY 32 STREET,40.596882,-73.996665,2,0.03,0.03,0,2
LYDIG AVE,40.854504,-73.86771,1,0.03,0.03,0,1
FENIMORE STREET,40.658291,-73.956875,2,0.03,0.03,0,2
134 PLACE,40.667614,-73.804276,1,0.03,0.03,0,1
NEILL AVENUE,40.853624,-73.85569,2,0.03,0.03,0,2
PARK DRIVE EAST,40.72496,-73.82756,1,0.03,0.03,0,1
STEINWAY ST,40.752403,-73.924416,1,0.03,0.03,0,1
PETTIT AVENUE,40.745228,-73.882576,1,0.03,0.03,0,1
ULMER ST,40.77057,-73.83549,1,0.03,0.03,0,1
59 PLACE,40.738109,-73.905555,2,0.03,0.03,0,2
DANIEL LOW TERRACE,40.640053,-74.08018,1,0.03,0.03,0,1
CONNER ST,40.88465,-73.826614,1,0.03,0.03,0,1
CHAMPLAIN AVENUE,40.561447,-74.1265,1,0.03,0.03,0,1
PIERREPONT PLACE,40.69631,-73.997086,1,0.03,0.03,0,1
OLD FARMERS LANE,40.599136,-74.09937,1,0.03,0.03,0,1
168 ST,40.72294,-73.80019,1,0.03,0.03,0,1
142 AVENUE,40.670586,-73.76509,1,0.03,0.03,0,1
EDGEWOOD AVENUE,40.662226,-73.74651,2,0.03,0.03,0,2
ROCKAWAY BREEZY BLVD,40.564022,-73.89554,1,0.03,0.03,0,1
E 56 ST,40.756687,-73.96116,1,0.03,0.03,0,1
WEBSTER AVE,40.860039,-73.890471,3,0.03,0.03,0,3
E 23 ST,40.73769,-73.980552,2,0.03,0.03,0,2
DUNTON AVE,40.719055,-73.767624,1,0.03,0.03,0,1
BUD PLACE,40.762226,-73.834076,1,0.03,0.03,0,1
E TREMONT AVE,40.838743,-73.860428,2,0.03,0.03,0,2
UNIVERSITY HEIGHTS BRIDGE,40.862137,-73.91344,1,0.03,0.03,0,1
LYDIG AVENUE,40.855261,-73.856971,4,0.03,0.03,0,4
SAINT NICHOLAS TERRACE,40.815223,-73.950646,3,0.03,0.03,0,3
WOODWARD AVE,40.708782,-73.91229,1,0.03,0.03,0,1
CLAFLIN AVENUE,40.869752,-73.90098,2,0.03,0.03,0,2
RICHMOND TER,40.644264,-74.128299,2,0.03,0.03,0,2
WHITNEY AVE,40.741627,-73.87917,1,0.03,0.03,0,1
CONCOURSE VILLAGE EAST,20.41193,-36.959705,2,0.03,0.03,0,2
HETT AVENUE,40.559821,-74.10647,2,0.03,0.03,0,2
STANHOPE ST,40.708782,-73.91229,1,0.03,0.03,0,1
VANNAME AVENUE,40.628445,-74.15413,1,0.03,0.03,0,1
E 11 ST,40.73038,-73.986374,1,0.03,0.03,0,1
160 ST,40.78902,-73.802124,1,0.03,0.03,0,1
W 40 ST,40.75432,-73.98686,1,0.03,0.03,0,1
MAURICE AVE,40.730125,-73.90422,1,0.03,0.03,0,1
HIGHLAND PL,40.67911,-73.880615,1,0.03,0.03,0,1
ELLERY STREET,40.698643,-73.94697,1,0.03,0.03,0,1
36 ST,40.65431,-74.00442,1,0.03,0.03,0,1
HICKS ST,40.687317,-74.00005,1,0.03,0.03,0,1
58 PL,40.722374,-73.910645,1,0.03,0.03,0,1
JORDAN AVENUE,40.699444,-73.767808,2,0.03,0.03,0,2
GREENWOOD AVENUE,40.650246,-73.97885,2,0.03,0.03,0,2
MURDOCK AVE,40.802259,-73.799613,2,0.03,0.03,0,2
MORELAND ST,40.575596,-74.09597,1,0.03,0.03,0,1
DANK COURT,40.58672,-73.97234,1,0.03,0.03,0,1
BELMONT AVE,40.669937,-73.900185,1,0.03,0.03,0,1
BRIGHTON 1 STREET,40.577007,-73.96704,1,0.03,0.03,0,1
COUNTRY CLUB ROAD,40.840874,-73.820076,1,0.03,0.03,0,1
WESTERVELT AVENUE,40.644174,-74.085069,4,0.03,0.03,0,4
W 18 ST,40.742256,-74.0007,1,0.03,0.03,0,1
204 STREET,40.73853,-73.769803,3,0.03,0.03,0,3
GEORGIA AVE,40.676964,-73.89894,1,0.03,0.03,0,1
CATALPA AVENUE,40.704181,-73.894808,1,0.03,0.03,0,1
KEESEVILLE AVENUE,40.700844,-73.76442,1,0.03,0.03,0,1
FOSTER ROAD,40.532482,-74.2031,1,0.03,0.03,0,1
CRYSTAL STREET,40.675053,-73.87436,1,0.03,0.03,0,1
61 AVENUE,40.756992,-73.72966,1,0.03,0.03,0,1
CARMINE STREET,40.729922,-74.003805,2,0.03,0.03,0,2
MOTHER GASTON BLVD,40.665138,-73.905695,2,0.03,0.03,0,2
ALDUS STREET,40.82319,-73.889496,1,0.03,0.03,0,1
GARFIELD AVE,40.735596,-73.899,1,0.03,0.03,0,1
BRONX RIVER AVE,40.82302,-73.882706,1,0.03,0.03,0,1
25 DRIVE,40.77526,-73.819664,1,0.03,0.03,0,1
WEST 88 STREET,40.788389,-73.97265,2,0.03,0.03,0,2
BARKER AVE,40.867928,-73.86925,1,0.03,0.03,0,1
ZEISER PLACE,40.863556,-73.90755,1,0.03,0.03,0,1
WEST 256 STREET,40.90414,-73.905014,1,0.03,0.03,0,1
HEMLOCK STREET,40.677746,-73.869639,3,0.03,0.03,0,3
HONE AVENUE,40.859095,-73.857725,2,0.03,0.03,0,2
BADEN PL,40.573265,-74.0904,1,0.03,0.03,0,1
EDGEMERE AVE,40.592857,-73.7753,1,0.03,0.03,0,1
MONTAUK COURT,40.58582,-73.96029,1,0.03,0.03,0,1
ARDEN STREET,40.862496,-73.927498,3,0.03,0.03,0,3
VANPELT AVENUE,40.627285,-74.155645,2,0.03,0.03,0,2
TAPSCOTT STREET,40.662556,-73.91963,1,0.03,0.03,0,1
HUXLEY STREET,40.653441,-73.73918,2,0.03,0.03,0,2
BAY 43 STREET,40.589844,-73.99111,1,0.03,0.03,0,1
SEYMOUR AVENUE,40.870692,-73.84699,2,0.03,0.03,0,2
ARVERNE BLVD,40.592445,-73.784294,1,0.03,0.03,0,1
MIDLAND AVENUE,40.578911,-74.104562,3,0.03,0.03,0,3
MARGINAL STREET,40.8203,-73.95967,1,0.03,0.03,0,1
MERRYMOUNT STREET,40.586296,-74.162994,1,0.03,0.03,0,1
GULF AVENUE,40.628975,-74.18495,1,0.03,0.03,0,1
SOUNDVIEW AVE,40.824953,-73.869917,2,0.03,0.03,0,2
91 AVE,40.70119,-73.807884,1,0.03,0.03,0,1
RIDER AVENUE,40.81115,-73.92891,1,0.03,0.03,0,1
RICHMOND AVE,40.5454,-74.16574,1,0.03,0.03,0,1
TINTON AVENUE,40.819474,-73.904047,4,0.03,0.03,0,4
RUGBY ROAD,40.644426,-73.965992,2,0.03,0.03,0,2
SEWARD AVENUE,40.819697,-73.859101,4,0.03,0.03,0,4
WOODHULL AVENUE,40.710938,-73.76654,1,0.03,0.03,0,1
GRANITE AVENUE,40.631542,-74.14891,1,0.03,0.03,0,1
62 ROAD,40.735645,-73.853584,1,0.03,0.03,0,1
PIKE STREET,40.713509,-73.99262,2,0.03,0.03,0,2
237 STREET,40.682148,-73.729614,1,0.03,0.03,0,1
97 AVENUE,40.692365,-73.823675,4,0.03,0.03,0,4
LISK AVENUE,40.6228,-74.16527,1,0.03,0.03,0,1
RANDALL AVE,40.81716,-73.862473,2,0.03,0.03,0,2
146 AVENUE,40.661901,-73.769223,2,0.03,0.03,0,2
168 PLACE,40.712048,-73.79464,2,0.03,0.03,0,2
MC LAUGHLIN AVE,40.72169,-73.775734,1,0.03,0.03,0,1
LINCOLN ROAD,40.661261,-73.955708,2,0.03,0.03,0,2
GILLESPIE AVENUE,40.84216,-73.831024,1,0.03,0.03,0,1
NIAGARA STREET,40.615345,-74.10419,1,0.03,0.03,0,1
60 LANE,40.702264,-73.89608,2,0.03,0.03,0,2
WEST 114 STREET,40.802714,-73.955378,3,0.03,0.03,0,3
CONOVER STREET,40.677097,-74.01541,1,0.03,0.03,0,1
HOBART STREET,40.761635,-73.90552,1,0.03,0.03,0,1
11 ST,40.74641,-73.95031,1,0.03,0.03,0,1
SUMMIT AVENUE,40.831913,-73.93094,1,0.03,0.03,0,1
FORT GEORGE HILL,40.859318,-73.92662,2,0.03,0.03,0,2
WEST 187 STREET,40.854168,-73.93371,1,0.03,0.03,0,1
30 PLACE,40.742153,-73.936942,3,0.03,0.03,0,3
BARNETT AVE,40.75011,-73.915405,1,0.03,0.03,0,1
BOUNDARY AVENUE,40.580734,-74.09776,1,0.03,0.03,0,1
PARKCHESTER ROAD,40.837406,-73.86054,1,0.03,0.03,0,1
VINE STREET,0.0,0.0,1,0.03,0.03,0,1
BEACH 63 STREET,40.59514,-73.79254,2,0.03,0.03,0,2
CREST ROAD,40.595203,-73.75603,1,0.03,0.03,0,1
30 AVE,40.76151,-73.883606,1,0.03,0.03,0,1
MACDONOUGH PLACE,40.843018,-73.82517,2,0.03,0.03,0,2
WHITTIER STREET,40.813097,-73.883257,3,0.03,0.03,0,3
CLINTONVILLE ST,40.778336,-73.80342,1,0.03,0.03,0,1
HOMER AVENUE,40.82226,-73.84564,1,0.03,0.03,0,1
EAST FIGUREA AVENUE,40.552296,-74.159996,1,0.03,0.03,0,1
ANNADALE ROAD,40.552294,-74.177485,2,0.03,0.03,0,2
E 128 ST,40.805838,-73.93492,2,0.03,0.03,0,2
EAST 44 STREET,40.75295,-73.975605,2,0.03,0.03,0,2
OCEANIA STREET,40.75563,-73.77264,1,0.03,0.03,0,1
MAJOR AVENUE,40.598713,-74.06907,1,0.03,0.03,0,1
FRANKFORT STREET,40.710903,-74.003522,2,0.03,0.03,0,2
15 DRIVE,40.785767,-73.816376,1,0.03,0.03,0,1
W 29 ST,40.572876,-73.9949,1,0.03,0.03,0,1
JANE STREET,40.73814,-74.0056,1,0.03,0.03,0,1
NEVINS ST,40.68876,-73.98084,1,0.03,0.03,0,1
EAST 43 STREET,40.639585,-73.93589,2,0.03,0.03,0,2
QUINTARD STREET,40.59589,-74.085884,1,0.03,0.03,0,1
DEKALB AVENUE,40.882148,-73.880895,2,0.03,0.03,0,2
BALCOM AVENUE,40.827113,-73.830298,2,0.03,0.03,0,2
EAST 190 STREET,40.863327,-73.89921,1,0.03,0.03,0,1
GENESEE AVENUE,40.553452,-74.162335,2,0.03,0.03,0,2
CAMPUS ROAD,40.61572,-74.09624,1,0.03,0.03,0,1
FTELEY AVE,40.83216,-73.87222,1,0.03,0.03,0,1
DE SALES PLACE,40.681225,-73.905587,2,0.03,0.03,0,2
RIDGE ST,40.719723,-73.9828,1,0.03,0.03,0,1
CANARSIE ROAD,40.632663,-73.892683,2,0.03,0.03,0,2
MARINE AVENUE,40.618793,-74.03698,1,0.03,0.03,0,1
CONNER STREET,40.885051,-73.826985,2,0.03,0.03,0,2
E 240 ST,40.902046,-73.851555,1,0.03,0.03,0,1
CHERRYWOOD COURT,40.559677,-74.14443,1,0.03,0.03,0,1
NAGLE AVE,40.863556,-73.91961,1,0.03,0.03,0,1
LANGDALE STREET,40.740894,-73.70084,1,0.03,0.03,0,1
STATEN ISLAND EXPY,40.617244,-74.164002,2,0.03,0.03,0,2
PENFIELD ST,40.904106,-73.84605,1,0.03,0.03,0,1
BROOKLYN QNS EXPRESSWAY,40.689224,-73.99894,1,0.03,0.03,0,1
BAY 34 STREET,40.600136,-73.99087,1,0.03,0.03,0,1
PUTNAM AVE,40.692165,-73.91476,1,0.03,0.03,0,1
GRASSMERE TERRACE,40.602684,-73.757438,2,0.03,0.03,0,2
WEST 7 STREET,40.606577,-73.980442,3,0.03,0.03,0,3
WORTH STREET,40.716278,-74.00454,1,0.03,0.03,0,1
TROUTMAN ST,40.69891,-73.93077,1,0.03,0.03,0,1
BENHAM ST,40.747864,-73.87398,1,0.03,0.03,0,1
JUNCTION BLVD,40.74732,-73.869434,4,0.03,0.03,0,4
112 RD,40.704807,-73.738075,1,0.03,0.03,0,1
58 ST,40.753708,-73.902985,1,0.03,0.03,0,1
BLACKROCK AVENUE,40.82864,-73.85344,1,0.03,0.03,0,1
PARSONS BLVD,40.7619,-73.819923,2,0.03,0.03,0,2
BELT PKWY,40.665878,-73.755052,2,0.03,0.03,0,2
HARDING AVE,40.81655,-73.81228,1,0.03,0.03,0,1
OCEANIC AVENUE,40.575256,-74.0053,1,0.03,0.03,0,1
VETERANS ROAD EAST,40.540184,-74.22359,1,0.03,0.03,0,1
BRIDGE ST,40.70144,-73.984764,1,0.03,0.03,0,1
BERGEN AVENUE,40.626196,-73.910377,2,0.03,0.03,0,2
BEDFORD PARK BLVD,40.868706,-73.88471,1,0.03,0.03,0,1
LAUREL HILL TERRACE,40.850693,-73.92748,1,0.03,0.03,0,1
BUCHANAN PLACE,40.858044,-73.90527,1,0.03,0.03,0,1
TRYON AVENUE,40.88183,-73.87627,1,0.03,0.03,0,1
135 AVE,40.678844,-73.75418,1,0.03,0.03,0,1
LACOMBE AVENUE,40.815811,-73.855677,3,0.03,0.03,0,3
68 ROAD,40.714872,-73.87302,2,0.03,0.03,0,2
W 105 ST,40.800507,-73.96797,1,0.03,0.03,0,1
YATES ROAD,40.693348,-73.79976,1,0.03,0.03,0,1
VIELE AVENUE,40.806483,-73.886782,2,0.03,0.03,0,2
BRUCKNER EXPY,40.82503,-73.868169,3,0.03,0.03,0,3
BRADFORD STREET,40.671057,-73.891776,4,0.03,0.03,0,4
ATTORNEY STREET,40.718826,-73.98424,1,0.03,0.03,0,1
85 AVE,40.69936,-73.84234,1,0.03,0.03,0,1
ESSEX ST,40.67526,-73.88202,1,0.03,0.03,0,1
TROY AVE,40.670887,-73.93649,1,0.03,0.03,0,1
BERKELEY PLACE,40.67412,-73.972534,1,0.03,0.03,0,1
VANCORTLANDT PARK EAST,40.89687,-73.87645,1,0.03,0.03,0,1
KNICKERBOCKER AVE,40.69939,-73.91937,1,0.03,0.03,0,1
LEONARD AVENUE,40.619152,-74.14388,1,0.03,0.03,0,1
BROCHER ROAD,40.68221,-73.77257,1,0.03,0.03,0,1
WORTMAN AVE,40.654793,-73.889984,1,0.03,0.03,0,1
FLATBUSH AVENUE EXT,40.69365,-73.98332,1,0.03,0.03,0,1
SANDS PLACE,40.85099,-73.82743,1,0.03,0.03,0,1
HUNTINGTON STREET,40.675842,-73.99905,1,0.03,0.03,0,1
SAINT THERESA AVENUE,40.849613,-73.83491,1,0.03,0.03,0,1
BAY 16 STREET,40.606445,-74.00589,1,0.03,0.03,0,1
SPENCER ST,40.6931,-73.95488,1,0.03,0.03,0,1
HOOK CREEK BLVD,40.67416,-73.727554,1,0.03,0.03,0,1
KANE PLACE,40.677116,-73.92378,1,0.03,0.03,0,1
HUNTER AVENUE,40.58024,-74.101405,2,0.03,0.03,0,2
E 46 ST,40.755356,-73.97742,1,0.03,0.03,0,1
PLAZA STREET WEST,40.672638,-73.97076,1,0.03,0.03,0,1
CATHERINE STREET,40.71207,-73.996956,1,0.03,0.03,0,1
POWELL AVENUE,40.83162,-73.847824,1,0.03,0.03,0,1
PIDGEON MEADOW ROAD,40.750507,-73.80302,1,0.03,0.03,0,1
REMINGTON STREET,40.69357,-73.81053,1,0.03,0.03,0,1
BRIGHTON 1 PLACE,40.57666,-73.965836,1,0.03,0.03,0,1
ASTOR AVE,40.85979,-73.84736,1,0.03,0.03,0,1
PARKCHESTER RD,40.837223,-73.85995,1,0.03,0.03,0,1
BEACH 105 STREET,40.581184,-73.825096,1,0.03,0.03,0,1
PORTER AVENUE,40.70653,-73.928555,2,0.03,0.03,0,2
LOCKMAN AVENUE,40.63164,-74.16172,1,0.03,0.03,0,1
BOERUM STREET,40.706128,-73.940448,2,0.03,0.03,0,2
MEMPHIS AVENUE,40.660664,-73.733635,1,0.03,0.03,0,1
W 131 ST,40.811565,-73.94272,1,0.03,0.03,0,1
254 STREET,40.65953,-73.73261,1,0.03,0.03,0,1
COUNTRY CLUB RD,40.84299,-73.82624,1,0.03,0.03,0,1
WEST 118 STREET,40.805681,-73.954325,2,0.03,0.03,0,2
GUERNSEY STREET,40.726536,-73.9544,1,0.03,0.03,0,1
WOOD STREET,40.698376,-73.76918,2,0.03,0.03,0,2
DIVISION PLACE,40.72042,-73.939705,1,0.03,0.03,0,1
E SCRANTON AVE,40.55442,-74.16055,1,0.03,0.03,0,1
JUMEL PLACE,40.839977,-73.93567,2,0.03,0.03,0,2
W BURNSIDE AVE,40.853817,-73.9085,1,0.03,0.03,0,1
HENDERSON AVE,40.637745,-74.11081,1,0.03,0.03,0,1
MARMION AVENUE,40.842117,-73.88786,1,0.03,0.03,0,1
E 65 ST,40.765312,-73.963844,1,0.03,0.03,0,1
MARTHA STREET,40.61292,-74.099884,1,0.03,0.03,0,1
WEIRFIELD ST,40.687508,-73.91464,1,0.03,0.03,0,1
FARADAY AVENUE,40.90478,-73.9003,1,0.03,0.03,0,1
MARGINAL ST WEST,40.67826,-73.897934,1,0.03,0.03,0,1
SUTTON STREET,40.723454,-73.94033,1,0.03,0.03,0,1
WEST 84 STREET,40.786838,-73.977108,2,0.03,0.03,0,2
E 172 ST,40.83256,-73.885376,1,0.03,0.03,0,1
BRIGHTON 11 STREET,40.580223,-73.95753,1,0.03,0.03,0,1
TELEPORT DRIVE,40.607864,-74.179184,1,0.03,0.03,0,1
FURMANVILLE AVE,40.72028,-73.86547,1,0.03,0.03,0,1
249 STREET,40.685618,-73.729283,3,0.03,0.03,0,3
WEST 138 STREET,40.822554,-73.95501,2,0.03,0.03,0,2
METCALF AVENUE,40.82472,-73.87147,1,0.03,0.03,0,1
GUIDER AVENUE,40.583485,-73.9601,1,0.03,0.03,0,1
212 ST,40.724693,-73.75409,1,0.03,0.03,0,1
PIKE ST,40.71318,-73.9925,1,0.03,0.03,0,1
ALLENDALE ST,40.69521,-73.807495,1,0.03,0.03,0,1
61 AVE,40.75576,-73.73938,1,0.03,0.03,0,1
HALLECK ST,40.80941,-73.880295,1,0.03,0.03,0,1
MC KIBBIN COURT,40.705513,-73.93808,1,0.03,0.03,0,1
DUNKIRK STREET,40.696104,-73.768707,3,0.03,0.03,0,3
BRIGHTON BEACH AVE,40.578007,-73.956924,1,0.03,0.03,0,1
MONTROSE AVENUE,40.707172,-73.944867,2,0.03,0.03,0,2
LENOX RD,40.655273,-73.93177,1,0.03,0.03,0,1
178 STREET,40.702564,-73.778082,2,0.03,0.03,0,2
MIDDLETON STREET,40.703286,-73.950647,3,0.03,0.03,0,3
MASON BOULEVARD,40.54397,-74.21196,1,0.03,0.03,0,1
WOODYCREST AVE,40.829956,-73.930084,1,0.03,0.03,0,1
E 168 ST,40.831768,-73.90802,1,0.03,0.03,0,1
PARK DR E,40.72992,-73.83307,1,0.03,0.03,0,1
BENEDICT AVENUE,40.834312,-73.85792,1,0.03,0.03,0,1
GRANTWOOD AVENUE,40.54814,-74.17559,1,0.03,0.03,0,1
SOUTH 6 STREET,40.710476,-73.963844,1,0.03,0.03,0,1
COLLINS PLACE,40.765347,-73.8354,1,0.03,0.03,0,1
G.C.P. / L.I.E (CDR),40.741234,-73.84573,1,0.03,0.03,0,1
33 ST,40.764862,-73.92083,2,0.03,0.03,0,2
63 RD,40.730118,-73.86231,1,0.03,0.03,0,1
217 PLACE,40.713062,-73.73994,1,0.03,0.03,0,1
E 178 ST,40.846577,-73.89188,1,0.03,0.03,0,1
WADSWORTH AVE,40.849842,-73.93497,1,0.03,0.03,0,1
PIERREPONT STREET,40.695628,-73.994593,2,0.03,0.03,0,2
CODY AVENUE,40.693844,-73.90119,1,0.03,0.03,0,1
WEST 102 STREET,40.797867,-73.96758,1,0.03,0.03,0,1
FRISBY AVENUE,40.839829,-73.846457,3,0.03,0.03,0,3
E 170 ST,40.835342,-73.90463,1,0.03,0.03,0,1
ALBANY STREET,40.709955,-74.015535,2,0.03,0.03,0,2
HALSEY ST,40.6835,-73.93516,1,0.03,0.03,0,1
E 80 ST,40.774967,-73.956795,1,0.03,0.03,0,1
EAST 1 STREET,40.724274,-73.99082,1,0.03,0.03,0,1
SAINT PAULS PLACE,40.743958,-73.933075,4,0.03,0.03,0,4
110 AVE,40.69017,-73.795906,1,0.03,0.03,0,1
STEPHENS AVENUE,40.81172,-73.853745,1,0.03,0.03,0,1
190 LANE,40.735798,-73.78212,1,0.03,0.03,0,1
EUCLID AVE,40.667953,-73.87006,1,0.03,0.03,0,1
FORT HAMILTON PKWY,40.636936,-73.99981,1,0.03,0.03,0,1
ELDERT STREET,40.687158,-73.912647,3,0.03,0.03,0,3
MOUNT OLIVET CRESCENT,40.71754,-73.89931,1,0.03,0.03,0,1
SOUTH GREENLEAF AVENUE,40.620663,-74.12569,1,0.03,0.03,0,1
33 AVE,40.76796,-73.80295,1,0.03,0.03,0,1
BAY 8 ST,40.605137,-74.01728,1,0.03,0.03,0,1
W 158 ST,40.835125,-73.94551,1,0.03,0.03,0,1
MACDONOUGH PL,40.846107,-73.82496,1,0.03,0.03,0,1
BOSTON RD,40.880928,-73.83965,1,0.03,0.03,0,1
MAGENTA STREET,40.875114,-73.866555,2,0.03,0.03,0,2
WEST 192 STREET,40.862644,-73.909243,3,0.03,0.03,0,3
71 PLACE,40.702625,-73.8794,1,0.03,0.03,0,1
PAERDEGAT 1 STREET,40.631935,-73.91321,1,0.03,0.03,0,1
CHRISTOPHER AVE,40.661713,-73.90382,1,0.03,0.03,0,1
52 AVENUE,0.0,0.0,1,0.03,0.03,0,1
E 174 ST,40.83408,-73.875114,2,0.03,0.03,0,2
W 155 ST,40.83157,-73.94298,1,0.03,0.03,0,1
MATTHEWS AVENUE,40.871353,-73.8624,1,0.03,0.03,0,1
WINDSOR ROAD,40.6127,-74.112915,1,0.03,0.03,0,1
SMITH PLACE,40.60381,-73.75213,1,0.03,0.03,0,1
W 34 ST,40.754585,-73.999146,1,0.03,0.03,0,1
58 AVE,40.74802,-73.76776,1,0.03,0.03,0,1
KOSSUTH AVENUE,40.87918,-73.88208,1,0.03,0.03,0,1
HILLCREST STREET,40.542546,-74.150694,2,0.03,0.03,0,2
LONGWOOD AVE,40.81632,-73.89621,1,0.03,0.03,0,1
DEVOE STREET,40.713955,-73.94259,1,0.03,0.03,0,1
34 RD,40.753986,-73.87214,1,0.03,0.03,0,1
