Street,Latitude,Longitude,Total_Incidents,Total_Injured,Total_Killed,Danger_Level
HAMILTON AVE,,,2,0,0,1
44 DR,,,2,0,0,1
E 42 ST,,,2,0,0,1
STANHOPE ST,,,2,0,0,1
INDEPENDENCE AVE,,,2,0,0,1
W 174 ST,,,2,0,0,1
73 AVE,,,2,0,0,1
MONTAUK AVE,,,2,0,0,1
BAINBRIDGE AVE,,,2,0,0,1
E 127 ST,,,2,0,0,1
BARCLAY ST,,,2,0,0,1
NAVY ST,,,2,0,0,1
WOODWARD AVE,,,2,0,0,1
160 ST,,,2,0,0,1
BEVERLEY RD,,,2,0,0,1
E 122 ST,,,2,0,0,1
BEACH 21 ST,,,2,0,0,1
KISSENA BLVD,,,2,0,0,1
CARLTON AVE,,,2,0,0,1
AUSTIN ST,,,2,0,0,1
89 AVE,,,2,0,0,1
71 AVE,,,2,0,0,1
164 STREET,,,2,0,0,1
PORT RICHMOND AVE,,,2,0,0,1
28 AVE,,,2,0,0,1
WOODROW RD,,,2,0,0,1
38 ST,,,2,0,0,1
29 ST,,,2,0,0,1
E 128 ST,,,2,0,0,1
UTOPIA PKWY,,,2,0,0,1
E 15 ST,,,2,0,0,1
109 AVE,,,2,0,0,1
ARCHER AVE,,,2,0,0,1
E 46 ST,,,2,0,0,1
E 41 ST,,,2,0,0,1
W 51 ST,,,2,0,0,1
RIVINGTON ST,,,2,0,0,1
E MOSHOLU PKWY N,,,2,0,0,1
OLD FULTON ST,,,2,0,0,1
104 ST,,,2,0,0,1
BEACH 19 ST,,,2,0,0,1
E 182 ST,,,2,0,0,1
PRESIDENT ST,,,2,0,0,1
E 141 ST,,,2,0,0,1
BAILEY AVE,,,2,0,0,1
E 65 ST,,,2,0,0,1
77 ST,,,2,0,0,1
GLENMORE AVE,,,2,0,0,1
37 AVE,,,2,0,0,1
VALENTINE AVE,,,2,0,0,1
BAY 8 ST,,,2,0,0,1
MOTT AVE,,,2,0,0,1
E 88 ST,,,2,0,0,1
69 ROAD,,,2,0,0,1
ROCHESTER AVE,,,2,0,0,1
115 AVE,,,2,0,0,1
HAVEMEYER ST,,,2,0,0,1
32 ST,,,2,0,0,1
78 AVE,,,2,0,0,1
SCHERMERHORN ST,,,2,0,0,1
128 AVE,,,2,0,0,1
COUNTRY CLUB RD,,,2,0,0,1
NELSON AVE,,,2,0,0,1
LORING PL N,,,2,0,0,1
183 ST,,,2,0,0,1
YORK AVE,,,2,0,0,1
MORRIS PARK AVE,,,2,0,0,1
MACOMBS PL,,,2,0,0,1
W 49 ST,,,2,0,0,1
31 AVENUE,,,2,0,0,1
NEWKIRK AVE,,,2,0,0,1
EAST 161 STREET,,,2,0,0,1
W 202 ST,,,2,0,0,1
57 ST,,,2,0,0,1
LONGWOOD AVE,,,2,0,0,1
BAY ST,,,2,0,0,1
W 22 ST,,,2,0,0,1
CATHEDRAL PKWY,,,2,0,0,1
GATES AVE,,,2,0,0,1
58 ST,,,2,0,0,1
201 ST,,,2,0,0,1
MADISON AVE,,,2,0,0,1
VAN SINDEREN AVE,,,2,0,0,1
TROY AVE,,,2,0,0,1
113 AVE,,,2,0,0,1
MARCUS GARVEY BLVD,,,2,0,0,1
LELAND AVE,,,2,0,0,1
GUYON AVE,,,2,0,0,1
BAY RIDGE PKWY,,,2,0,0,1
BEDFORD PARK BLVD,,,2,0,0,1
