Latitude,Longitude,Street,Incident_Count,Injured,Killed,Congestion_Index,Last_Incident_Date
40.862717,-73.90229,W FORDHAM RD,2,0,0,0.42,2026-04-05T00:00:00.000
40.833233,-73.8282,BRUCKNER EXPRESSWAY,2,0,0,0.42,2026-04-12T00:00:00.000
40.808296,-73.94882,W 124 ST,2,0,0,0.42,2026-03-31T00:00:00.000
40.763382,-73.8303,NORTHERN BLVD,2,0,0,0.42,2026-03-25T00:00:00.000
40.75991,-73.95881,E 61 ST,2,0,0,0.42,2026-03-29T00:00:00.000
40.764267,-73.722946,LONG ISLAND EXPRESSWAY,2,0,0,0.42,2026-04-09T00:00:00.000
40.715637,-73.81636,GRAND CENTRAL PARKWAY,2,0,0,0.42,2026-04-08T00:00:00.000
40.67043,-73.92818,ST JOHNS PL,2,0,0,0.42,2026-03-29T00:00:00.000
40.642136,-73.92935,UTICA AVE,2,0,0,0.42,2026-04-14T00:00:00.000
40.86676,-73.92061,W 207 ST,2,0,0,0.42,2026-04-11T00:00:00.000
