Latitude,Longitude,Street,Hour,Incident_Count,Total_Injured
40.634483,-73.918850,RALPH AVE,0,1,0
40.647312,-73.958820,Unknown,0,1,0
40.669724,-73.860960,LINDEN BLVD,0,1,0
40.687885,-73.978350,FULTON ST,0,2,0
40.601190,-74.134026,FILLMORE AVE,0,1,0
40.606970,-73.973880,Unknown,0,1,0
40.752060,-74.000984,10 AVE,0,1,0
40.813686,-73.955154,Unknown,0,1,0
40.608074,-73.959595,Unknown,0,1,0
40.679775,-73.896950,HIGHLAND BOULEVARD,0,1,0
40.672676,-73.971210,Unknown,0,1,0
40.720960,-73.846970,AUSTIN ST,0,1,0
40.868770,-73.831730,BARTOW AVE,0,1,0
40.831200,-73.948300,Unknown,0,1,0
40.696587,-73.981674,BROOKLYN QUEENS EXPRESSWAY RAMP,0,1,0
40.728428,-74.007370,Unknown,0,1,0
40.701660,-73.940130,Unknown,0,1,0
40.824200,-73.821860,Unknown,0,1,0
40.768555,-73.810470,154 ST,0,2,0
40.711340,-73.983315,GOUVERNEUR SLIP E,0,1,0
40.665520,-73.933960,Unknown,0,1,0
40.651974,-73.865420,BELT PARKWAY,0,1,0
40.629130,-74.133130,Unknown,0,1,0
40.675465,-73.971620,8 AVE,0,1,0
40.845806,-73.929210,ALEXANDER HAMILTON BRIDGE,0,1,0
40.666153,-73.805740,134 ST,0,1,0
40.724080,-73.837105,GRAND CENTRAL PKWY,0,1,0
40.820900,-73.816900,CROSS BRONX EXPY,0,2,0
40.740456,-73.979515,Unknown,0,1,0
40.611460,-73.924360,FLATBUSH AVE,0,1,0
40.862240,-73.909424,Unknown,0,1,0
40.885483,-73.909035,W 235 ST,0,1,0
40.646440,-73.912880,REMSEN AVE,0,1,0
40.692050,-73.986404,Unknown,0,1,0
40.731810,-73.866640,QUEENS BLVD,0,1,0
40.740143,-73.857956,102 ST,0,1,0
40.625546,-73.939970,AVENUE K,0,1,0
40.809246,-73.801315,ERBEN AVE,0,1,0
40.666610,-73.876140,ATKINS AVE,0,1,0
40.694344,-73.801540,Unknown,0,1,0
40.508200,-74.227650,HYLAN BLVD,0,1,0
40.838295,-73.886230,HOE AVE,0,1,0
40.760284,-73.769350,NORTHERN BLVD,0,1,0
40.708150,-73.929260,Unknown,0,1,0
40.746967,-73.798260,UNDERHILL AVE,0,1,0
40.847730,-73.857086,RADCLIFF AVE,0,1,0
40.666120,-73.822240,LEFFERTS BLVD,0,2,0
40.672222,-73.807450,SUTTER AVE,0,1,0
40.713955,-73.909065,Unknown,0,1,0
40.645107,-74.010320,50 ST,0,1,0
40.678417,-73.869800,Unknown,0,1,0
40.595890,-73.763855,SEAGIRT BLVD,0,1,0
40.639930,-73.949380,NEWKIRK AVE,0,1,0
40.729275,-73.910180,LIE WB ENTRANCE MAURICE AVE,0,1,0
40.843980,-73.869590,MORRIS PARK AVE,0,1,0
40.764282,-73.974030,Unknown,0,1,0
40.732277,-73.849266,108 ST,0,1,0
40.628994,-73.983635,17 AVE,0,1,0
40.682037,-74.002320,BROOKLYN QUEENS EXPRESSWAY,0,1,0
40.689280,-73.796104,SUTPHIN BLVD,0,1,0
40.657623,-73.945310,Unknown,0,1,0
40.861590,-73.924740,NAGLE AVE,0,1,0
40.688744,-73.963590,Unknown,0,1,0
40.677658,-73.898360,JAMAICA AVE,0,1,0
40.788696,-73.937860,FRANKLIN D ROOSEVELT DR,0,1,0
40.798508,-73.967125,W 103 ST,0,1,0
40.560474,-74.166890,ARTHUR KILL RD,0,1,0
40.826350,-73.898440,E 167 ST,0,1,0
40.734837,-73.990750,E 14 ST,0,1,0
40.753708,-73.902985,58 ST,0,1,0
40.751080,-73.986855,W 36 ST,0,1,0
40.873356,-73.880200,Unknown,0,1,0
40.674740,-73.997770,SMITH ST,0,1,0
40.812897,-73.901440,SOUTHERN BLVD,0,1,0
40.753937,-73.860290,108 ST,0,1,0
40.859413,-73.887375,Unknown,0,1,0
