Link_ID,Record_ID,Street_Segment_Name,Borough,Owner,Transcom_ID,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Code,Segment_Status_Label,Speed_Category,Point_Count,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Mid_Latitude,Mid_Longitude,Link_Points
4616319,262,GOW S 9TH STREET - 7TH AVENUE,Brooklyn,NYC_DOT_LIC,4616319,1.24,6754.0,2017-05-04T20:11:50.000,0,Normal,Severe congestion,13,40.633231,-74.016151,40.641030,-74.021430,40.637570,-74.020460,"40.633231,-74.016151 40.633910,-74.016130 40.634350,-74.016241 40.634850,-74.016501 40.635330,-74.016940 40.636220,-74.018270 40.637570,-74.020460 40.638030,-74.021071 40.638500,-74.021460 40.639080,-74.021730 40.639670,-74.021850 40.640360,-74.021720 40.641030,-74.021430"
4763657,263,GOW S VNB W 92ND STREET - BKLYN GANTRY LOWER LEVEL,Brooklyn,Verrazano-Narrows-Bridge,4763657,39.77,53.0,2017-05-05T10:25:54.000,0,Normal,Free flow,8,40.608460,-74.039330,40.616350,-74.026390,40.612790,-74.030031,"40.608460,-74.039330 40.610780,-74.032070 40.611100,-74.031540 40.611580,-74.031051 40.612790,-74.030031 40.613711,-74.029030 40.614411,-74.028201 40.616350,-74.026390"
4763655,264,GOW S VNB W 92ND STREET - BKLYN GANTRY UPPER LEVEL,Brooklyn,Verrazano-Narrows-Bridge,4763655,42.87,50.0,2017-05-05T10:25:54.000,0,Normal,Free flow,8,40.608380,-74.039301,40.616311,-74.026240,40.612720,-74.029920,"40.608380,-74.039301 40.610711,-74.032020 40.611051,-74.031440 40.611501,-74.030940 40.612720,-74.029920 40.613440,-74.028920 40.614231,-74.028030 40.616311,-74.026240"
4763656,410,VNB E SI GANTRY LOWER LEVEL - BROOLKYN GANTRY LOWER LEVEL,Brooklyn,Verrazano-Narrows-Bridge,4763656,44.12,106.0,2017-05-05T10:25:54.000,0,Normal,Free flow,5,40.603970,-74.052281,40.608211,-74.039190,40.607370,-74.041820,"40.603970,-74.052281 40.604651,-74.050210 40.607370,-74.041820 40.607950,-74.039971 40.608211,-74.039190"
4763652,411,VNB E SI GANTRY UPPER LEVEL - BROOKLYN GANTRY UPPER LEVEL,Brooklyn,Verrazano-Narrows-Bridge,4763652,39.77,117.0,2017-05-05T10:25:54.000,0,Normal,Free flow,5,40.604041,-74.052321,40.608271,-74.039211,40.607430,-74.041851,"40.604041,-74.052321 40.604700,-74.050301 40.607430,-74.041851 40.608031,-74.039980 40.608271,-74.039211"
4616218,412,VNB E-GOWANUS N BROOKLYN GANTRY LOWER LEVEL - 92ND STREET,Brooklyn,NYC_DOT_LIC,4616218,44.74,48.0,2017-05-05T10:26:51.000,0,Normal,Free flow,8,40.608170,-74.039261,40.616201,-74.026020,40.611710,-74.029600,"40.608170,-74.039261 40.610091,-74.033370 40.610590,-74.031760 40.611210,-74.030280 40.611710,-74.029600 40.612970,-74.028641 40.613900,-74.027831 40.616201,-74.026020"
4616219,413,VNB E-GOWANUS N BROOKLYN GANTRY UPPER LEVEL - 92ND STREET,Brooklyn,NYC_DOT_LIC,4616219,39.77,54.0,2017-05-05T10:26:51.000,0,Normal,Free flow,8,40.608271,-74.039261,40.616241,-74.026150,40.611780,-74.029680,"40.608271,-74.039261 40.610181,-74.033360 40.610671,-74.031781 40.611370,-74.030251 40.611780,-74.029680 40.613070,-74.028731 40.614040,-74.028011 40.616241,-74.026150"
4763651,416,VNB W BROOKLYN GANTRY LOWER LEVEL - SI GANTRY LOWER LEVEL,Brooklyn,Verrazano-Narrows-Bridge,4763651,42.25,111.0,2017-05-05T10:25:54.000,0,Normal,Free flow,6,40.604250,-74.052331,40.608460,-74.039330,40.608231,-74.040040,"40.604250,-74.052331 40.604870,-74.050370 40.607620,-74.041901 40.608231,-74.040040 40.608321,-74.039770 40.608460,-74.039330"
4763649,417,VNB W BROOKLYN GANTRY UPPER LEVEL - SI GANTRY UPPER LEVEL,Brooklyn,Verrazano-Narrows-Bridge,4763649,47.22,99.0,2017-05-05T10:25:54.000,0,Normal,Free flow,5,40.604140,-74.052411,40.608380,-74.039240,40.607530,-74.041891,"40.604140,-74.052411 40.604790,-74.050351 40.607530,-74.041891 40.608100,-74.040011 40.608380,-74.039240"
4616337,1,11th ave n ganservoort - 12th ave @ 40th st,Manhattan,NYC_DOT_LIC,4616337,8.08,645.0,2017-05-05T10:21:49.000,0,Normal,Severe congestion,12,40.740470,-74.009251,40.760030,-74.002631,40.749710,-74.008190,"40.740470,-74.009251 40.741370,-74.008930 40.743171,-74.008591 40.746230,-74.007970 40.748120,-74.007651 40.748701,-74.007691 40.749710,-74.008190 40.750480,-74.008321 40.751611,-74.007890 40.753750,-74.007040 40.757210,-74.004630 40.760030,-74.002631"
