Link_ID,Street_Segment_Name,Borough,Sequence,Latitude,Longitude,Current_Speed_MPH,Travel_Time_Seconds,Data_As_Of,Segment_Status_Label,Speed_Category
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,1,40.830220,-73.850641,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,2,40.829530,-73.848401,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,3,40.829100,-73.847491,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,4,40.828360,-73.845900,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,5,40.828141,-73.845240,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,6,40.828030,-73.844641,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,7,40.827991,-73.843911,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,8,40.828040,-73.842981,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,9,40.828191,-73.841761,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,10,40.828630,-73.838440,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,11,40.828870,-73.836730,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616297,CBE E CASTLE HILL AVE - BE N WATERBURY AVE,Bronx,12,40.829190,-73.835480,45.98,178.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,1,40.834720,-73.865930,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,2,40.833570,-73.861990,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,3,40.832730,-73.859200,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,4,40.831200,-73.854090,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,5,40.830170,-73.850690,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,6,40.830150,-73.850710,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,7,40.830130,-73.850731,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616253,CBE E TAYLOR AVENUE - CASTLE HILL AVENUE,Bronx,8,40.830111,-73.850731,52.2,49.0,2017-05-05T10:21:49.000,Normal,Free flow
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,1,40.830420,-73.850811,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,2,40.831560,-73.854671,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,3,40.832380,-73.857341,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,4,40.833120,-73.859891,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
4616267,CBE W CASTLE HILL AVENUE - TAYLOR AVENUE,Bronx,5,40.833350,-73.860460,9.94,255.0,2017-05-05T10:21:49.000,Normal,Severe congestion
