Borough,Street_Segment_Name,Segment_Count,Average_Speed_MPH,Minimum_Speed_MPH,Maximum_Speed_MPH,Average_Travel_Time_Seconds,Latest_Data_As_Of,Representative_Latitude,Representative_Longitude,Most_Recent_Speed_Category
Queens,Belt Pkwy E 182nd St - Laurelton Pkwy N @ SSP,1,47.22,47.22,47.22,195.0,2017-05-05T10:21:51.000,40.667148,-73.741732,Free flow
Queens,Belt Pkwy W 182nd St - JFK Expressway,1,49.09,49.09,49.09,76.0,2017-05-05T10:21:51.000,40.667196,-73.774395,Free flow
Queens,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,1,16.78,16.78,16.78,686.0,2017-05-05T10:21:51.000,40.666668,-73.793776,Heavy congestion
Queens,CIP N Hempstead Tpk - LIE,1,47.85,47.85,47.85,230.0,2017-05-05T10:21:51.000,40.718503,-73.727035,Free flow
Queens,CIP N LIE ramp - TNB,1,11.18,11.18,11.18,1051.0,2016-08-05T14:17:16.000,40.78866,-73.722261,Heavy congestion
Queens,CIP N TNB - Whitestone Expwy S Exit 14 (Linden Pl),1,9.94,9.94,9.94,1071.0,2017-05-05T10:21:49.000,40.787217,-73.79455,Severe congestion
Queens,CIP N ramp to TNB - TNB Queens Anchorage,1,29.2,29.2,29.2,25.0,2017-05-05T10:25:54.000,40.790168,-68.65306,Moderate traffic
Queens,CIP NB GCP - TNB,1,11.81,11.81,11.81,1294.0,2016-08-05T13:16:46.000,40.788651,-73.782492,Heavy congestion
Queens,CIP S Hempstead Tpk - Laurelton Pkwy @ SSP,1,47.85,47.85,47.85,159.0,2017-05-05T10:21:51.000,40.698832,-73.727448,Free flow
Queens,CIP S LIE - Hempstead Tpk,1,49.09,49.09,49.09,222.0,2017-05-05T10:21:51.000,40.743618,-73.731743,Free flow
Queens,CVE NB GCP - WILLETS PT BLVD,1,50.95,50.95,50.95,322.0,2017-05-05T10:26:29.000,40.783019,-73.786396,Free flow
Queens,CVE NB LIE - WILLETS PT BLVD,1,29.83,29.83,29.83,310.0,2017-05-05T10:26:29.000,40.784148,-68.649072,Moderate traffic
Queens,LIE E 84TH ST - 108TH ST,1,39.77,39.77,39.77,125.0,2017-05-05T10:26:34.000,40.733841,-73.864182,Free flow
Queens,LIE E QMT TOLL PLAZA - 84TH ST,1,36.04,36.04,36.04,384.0,2017-03-21T21:41:50.000,40.739695,-73.865998,Free flow
Queens,LIE W 108TH ST - 84TH ST,1,21.75,21.75,21.75,222.0,2017-05-05T10:21:51.000,40.734077,-73.863977,Moderate traffic
Queens,LIE W 84TH ST - QMT TOLL PLAZA,1,0.0,0.0,0.0,0.0,2017-04-11T15:17:02.000,40.728149,-73.884643,Severe congestion
Queens,LIE WB LITTLE NECK PKWY - NB CIP,1,34.18,34.18,34.18,116.0,2017-05-05T10:26:29.000,40.748081,-73.760238,Moderate traffic
Queens,LIE WB LITTLE NECK PKWY - NB CVE,1,29.83,29.83,29.83,360.0,2017-05-05T10:26:29.000,40.759983,-73.733602,Moderate traffic
Queens,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk,1,45.98,45.98,45.98,170.0,2017-05-05T10:21:51.000,40.685304,-73.725143,Free flow
Queens,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St,1,49.09,49.09,49.09,186.0,2017-05-05T10:21:51.000,40.675723,-73.732752,Free flow
Queens,MDE S TBB EXIT RAMP - QUEENS ANCHORAGE,1,26.72,26.72,26.72,262.0,2017-05-05T10:25:54.000,40.781711,-73.927122,Moderate traffic
Queens,QMT W Toll Plaza - Manhattan Side,1,14.91,14.91,14.91,270.0,2016-12-28T09:06:29.000,40.744319,-73.965248,Heavy congestion
Queens,TBB N QUEENS ANCHORAGE - BE N,1,16.78,16.78,16.78,429.0,2017-05-05T10:26:51.000,40.780618,-73.92657,Heavy congestion
Queens,TBB N QUEENS ANCHORAGE - MANHATTAN LIFT SPAN,1,13.05,13.05,13.05,617.0,2017-05-05T10:25:54.000,40.781179,-73.926098,Heavy congestion
Queens,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE,1,19.26,19.26,19.26,397.0,2017-05-05T10:25:54.000,40.781711,-73.927122,Heavy congestion
Queens,TNB N Queens Anchorage - Toll Plaza,1,42.25,42.25,42.25,161.0,2017-04-28T22:34:54.000,40.810931,-73.794992,Free flow
Queens,TNB S Qns Anchorage - CIP S @ TNB,1,47.85,47.85,47.85,53.0,2017-03-21T21:42:33.000,40.790642,-73.792558,Free flow
Queens,TNB S Toll Plaza - Queens Anchorage,1,45.98,45.98,45.98,144.0,2017-04-29T03:54:00.000,40.814612,-68.659413,Free flow
Queens,VWE N MP4.63 (Exit 6 - Jamaica Ave) - MP6.39 (Exit 11 Jewel Ave),1,22.99,22.99,22.99,390.0,2017-05-05T10:21:49.000,40.724207,-73.829186,Moderate traffic
